room, time_start, time_end, MAC
Dome   , 2015-06-11 14:09:59, 2015-06-12 14:14:59, 00:13:EF:CA:0C:53
Hall   , 2015-06-11 14:09:59, 2015-06-12 14:14:59, 00:13:EF:C7:10:5B
Planta , 2015-06-11 14:09:59, 2015-06-12 14:14:59, 00:13:EF:C7:0E:EA
PlusD  , 2015-06-11 14:09:59, 2015-06-12 14:14:59, 48:5D:60:D2:03:A2
Complex, 2015-06-11 14:09:59, 2015-06-12 14:14:59, de:de:de:de:de:14
Village, 2015-06-11 14:09:59, 2015-06-12 14:14:59, 00:13:EF:C0:09:FD
Village, 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:00
Village, 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:01
Village, 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:02
Village, 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:06
Dome   , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:03 
Dome   , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:05
PlusD  , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:04
PlusD  , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:12
PlusD  , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:09
Hall   , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:10
Hall   , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:07
Hall   , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:13   
Planta , 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:08
Complex, 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:11
Complex, 2015-06-07 13:25:01, 2015-06-30 15:55:00, de:de:de:de:de:14